id,mean_daily_demand,std_daily_demand,safety_stock,reorder_point,order_up_to,newsvendor_q,service_level,lead_time_days
FOODS_3_566_CA_1_evaluation,5.835,4.5766,19.92,60.76,101.61,52.56,0.95,7
FOODS_3_263_CA_1_evaluation,5.833,2.8345,12.34,53.17,94.0,48.09,0.95,7
FOODS_2_346_CA_1_evaluation,5.7869,3.3954,14.78,55.28,95.79,49.2,0.95,7
FOODS_3_519_CA_1_evaluation,5.7804,4.7193,20.54,61.0,101.46,52.54,0.95,7
FOODS_2_244_CA_1_evaluation,5.767,3.8461,16.74,57.11,97.48,50.21,0.95,7
HOUSEHOLD_1_327_CA_1_evaluation,5.7284,3.8427,16.72,56.82,96.92,49.93,0.95,7
FOODS_3_135_CA_1_evaluation,5.705,3.1049,13.51,53.45,93.38,47.88,0.95,7
FOODS_3_226_CA_1_evaluation,5.6947,2.9377,12.78,52.65,92.51,47.38,0.95,7
HOUSEHOLD_1_521_CA_1_evaluation,5.6232,3.7276,16.22,55.58,94.95,48.9,0.95,7
HOUSEHOLD_1_351_CA_1_evaluation,5.5788,3.869,16.84,55.89,94.94,48.95,0.95,7
FOODS_3_572_CA_1_evaluation,5.547,2.8485,12.4,51.23,90.05,46.12,0.95,7
FOODS_3_636_CA_1_evaluation,5.4992,3.7369,16.26,54.76,93.25,48.06,0.95,7
FOODS_3_227_CA_1_evaluation,5.4937,3.413,14.85,53.31,91.76,47.19,0.95,7
FOODS_3_592_CA_1_evaluation,5.4701,3.3417,14.54,52.83,91.12,46.84,0.95,7
HOBBIES_1_398_CA_1_evaluation,5.4628,4.4769,19.48,57.72,95.96,49.7,0.95,7
FOODS_3_756_CA_1_evaluation,5.4554,3.0478,13.26,51.45,89.64,45.99,0.95,7
HOUSEHOLD_1_429_CA_1_evaluation,5.4544,3.1671,13.78,51.96,90.14,46.29,0.95,7
FOODS_3_477_CA_1_evaluation,5.4162,2.7384,11.92,49.83,87.74,44.92,0.95,7
HOUSEHOLD_1_410_CA_1_evaluation,5.4137,3.6201,15.75,53.65,91.55,47.16,0.95,7
FOODS_3_292_CA_1_evaluation,5.402,3.8139,16.6,54.41,92.23,47.58,0.95,7
FOODS_3_498_CA_1_evaluation,5.388,4.8812,21.24,58.96,96.67,50.21,0.95,7
FOODS_3_150_CA_1_evaluation,5.3786,3.246,14.13,51.78,89.43,45.96,0.95,7
HOBBIES_1_256_CA_1_evaluation,5.3246,4.8089,20.93,58.2,95.47,49.58,0.95,7
FOODS_3_245_CA_1_evaluation,5.3225,3.4489,15.01,52.27,89.52,46.09,0.95,7
HOBBIES_1_278_CA_1_evaluation,5.3144,5.8463,25.44,62.64,99.84,52.16,0.95,7
FOODS_2_181_CA_1_evaluation,5.3054,3.18,13.84,50.98,88.11,45.28,0.95,7
FOODS_1_086_CA_1_evaluation,5.2694,3.6799,16.01,52.9,89.79,46.31,0.95,7
FOODS_3_546_CA_1_evaluation,5.2046,3.0932,13.46,49.89,86.33,44.35,0.95,7
FOODS_2_293_CA_1_evaluation,5.1768,3.5374,15.39,51.63,87.87,45.29,0.95,7
FOODS_3_039_CA_1_evaluation,5.1731,3.1252,13.6,49.81,86.02,44.21,0.95,7
FOODS_2_325_CA_1_evaluation,5.1581,3.3497,14.58,50.68,86.79,44.68,0.95,7
HOUSEHOLD_1_304_CA_1_evaluation,5.1554,2.5204,10.97,47.06,83.14,42.54,0.95,7
FOODS_3_573_CA_1_evaluation,5.1192,3.4784,15.14,50.97,86.81,44.74,0.95,7
FOODS_3_692_CA_1_evaluation,5.1061,3.4978,15.22,50.96,86.71,44.7,0.95,7
FOODS_3_807_CA_1_evaluation,5.0681,3.2542,14.16,49.64,85.12,43.81,0.95,7
FOODS_3_618_CA_1_evaluation,5.0605,3.8444,16.73,52.15,87.58,45.26,0.95,7
FOODS_3_449_CA_1_evaluation,5.0569,3.1158,13.56,48.96,84.36,43.37,0.95,7
FOODS_3_827_CA_1_evaluation,5.0544,3.5201,15.32,50.7,86.08,44.39,0.95,7
FOODS_2_029_CA_1_evaluation,5.0263,3.4085,14.83,50.02,85.2,43.91,0.95,7
HOUSEHOLD_1_473_CA_1_evaluation,5.0097,2.464,10.72,45.79,80.86,41.37,0.95,7
FOODS_3_321_CA_1_evaluation,5.0085,2.926,12.73,47.79,82.85,42.55,0.95,7
FOODS_3_317_CA_1_evaluation,4.9839,3.558,15.48,50.37,85.26,43.99,0.95,7
FOODS_3_106_CA_1_evaluation,4.9835,4.0442,17.6,52.48,87.37,45.24,0.95,7
FOODS_3_342_CA_1_evaluation,4.9828,3.1188,13.57,48.45,83.33,42.86,0.95,7
HOUSEHOLD_1_361_CA_1_evaluation,4.9399,3.5838,15.6,50.18,84.75,43.75,0.95,7
FOODS_3_561_CA_1_evaluation,4.9396,2.9605,12.88,47.46,82.04,42.15,0.95,7
FOODS_3_376_CA_1_evaluation,4.9396,3.268,14.22,48.8,83.38,42.94,0.95,7
FOODS_3_344_CA_1_evaluation,4.9093,3.1584,13.75,48.11,82.48,42.45,0.95,7
HOUSEHOLD_1_262_CA_1_evaluation,4.8949,3.0855,13.43,47.69,81.96,42.16,0.95,7
HOBBIES_1_244_CA_1_evaluation,4.8645,3.9111,17.02,51.07,85.12,44.06,0.95,7
FOODS_3_789_CA_1_evaluation,4.8593,3.0244,13.16,47.18,81.19,41.76,0.95,7
FOODS_3_313_CA_1_evaluation,4.8173,2.7611,12.02,45.74,79.46,40.79,0.95,7
FOODS_2_016_CA_1_evaluation,4.8002,3.6223,15.76,49.37,82.97,42.87,0.95,7
FOODS_3_330_CA_1_evaluation,4.7854,3.0256,13.17,46.66,80.16,41.24,0.95,7
HOUSEHOLD_1_338_CA_1_evaluation,4.7739,3.0947,13.47,46.89,80.3,41.34,0.95,7
FOODS_3_683_CA_1_evaluation,4.7486,2.8651,12.47,45.71,78.95,40.57,0.95,7
FOODS_3_307_CA_1_evaluation,4.7444,2.8789,12.53,45.74,78.95,40.58,0.95,7
FOODS_3_747_CA_1_evaluation,4.7295,3.3754,14.69,47.8,80.9,41.75,0.95,7
FOODS_3_163_CA_1_evaluation,4.711,2.9837,12.98,45.96,78.94,40.61,0.95,7
FOODS_3_540_CA_1_evaluation,4.6951,3.0439,13.25,46.11,78.98,40.66,0.95,7
HOUSEHOLD_1_204_CA_1_evaluation,4.6564,2.8998,12.62,45.21,77.81,40.02,0.95,7
FOODS_3_070_CA_1_evaluation,4.6469,4.0788,17.75,50.28,82.81,42.97,0.95,7
FOODS_3_534_CA_1_evaluation,4.6307,2.952,12.85,45.26,77.68,39.97,0.95,7
FOODS_3_783_CA_1_evaluation,4.6046,2.9276,12.74,44.97,77.21,39.73,0.95,7
FOODS_3_127_CA_1_evaluation,4.5782,2.6799,11.66,43.71,75.76,38.91,0.95,7
HOUSEHOLD_1_272_CA_1_evaluation,4.5553,3.1067,13.52,45.41,77.29,39.84,0.95,7
FOODS_3_113_CA_1_evaluation,4.5367,3.0117,13.11,44.86,76.62,39.47,0.95,7
FOODS_3_230_CA_1_evaluation,4.5329,2.6729,11.63,43.36,75.09,38.57,0.95,7
HOUSEHOLD_1_441_CA_1_evaluation,4.5309,3.5293,15.36,47.08,78.79,40.75,0.95,7
HOUSEHOLD_2_176_CA_1_evaluation,4.5168,2.6758,11.64,43.26,74.88,38.47,0.95,7
HOBBIES_1_353_CA_1_evaluation,4.501,4.3708,19.02,50.53,82.04,42.69,0.95,7
HOUSEHOLD_1_106_CA_1_evaluation,4.4904,2.8176,12.26,43.69,75.13,38.64,0.95,7
HOBBIES_1_370_CA_1_evaluation,4.4597,4.1414,18.02,49.24,80.46,41.82,0.95,7
FOODS_2_131_CA_1_evaluation,4.443,2.9096,12.66,43.76,74.86,38.55,0.95,7
FOODS_3_087_CA_1_evaluation,4.4144,2.9099,12.66,43.56,74.46,38.35,0.95,7
FOODS_3_547_CA_1_evaluation,4.3926,3.8111,16.59,47.33,78.08,40.5,0.95,7
FOODS_3_734_CA_1_evaluation,4.3564,2.8975,12.61,43.1,73.6,37.91,0.95,7
FOODS_3_557_CA_1_evaluation,4.3524,3.0424,13.24,43.71,74.17,38.25,0.95,7
FOODS_3_795_CA_1_evaluation,4.3513,2.7102,11.79,42.25,72.71,37.4,0.95,7
HOUSEHOLD_1_389_CA_1_evaluation,4.3376,3.2354,14.08,44.44,74.81,38.64,0.95,7
FOODS_3_041_CA_1_evaluation,4.3352,2.8381,12.35,42.7,73.04,37.61,0.95,7
FOODS_3_603_CA_1_evaluation,4.3197,3.3114,14.41,44.65,74.89,38.71,0.95,7
FOODS_3_147_CA_1_evaluation,4.3072,2.501,10.88,41.03,71.19,36.55,0.95,7
HOBBIES_1_090_CA_1_evaluation,4.2938,4.6976,20.44,50.5,80.56,42.08,0.95,7
FOODS_3_007_CA_1_evaluation,4.2791,3.4517,15.02,44.98,74.93,38.79,0.95,7
FOODS_2_349_CA_1_evaluation,4.2703,2.7707,12.06,41.95,71.84,36.98,0.95,7
FOODS_3_574_CA_1_evaluation,4.2553,2.9217,12.71,42.5,72.29,37.27,0.95,7
FOODS_3_258_CA_1_evaluation,4.2265,2.7876,12.13,41.72,71.3,36.72,0.95,7
FOODS_3_769_CA_1_evaluation,4.2066,2.9486,12.83,42.28,71.72,36.99,0.95,7
HOBBIES_1_134_CA_1_evaluation,4.1984,3.0514,13.28,42.67,72.06,37.2,0.95,7
FOODS_3_241_CA_1_evaluation,4.1967,2.8941,12.59,41.97,71.35,36.78,0.95,7
FOODS_3_156_CA_1_evaluation,4.1893,2.9511,12.84,42.17,71.49,36.88,0.95,7
HOBBIES_1_032_CA_1_evaluation,4.1885,4.0851,17.78,47.1,76.42,39.78,0.95,7
FOODS_3_476_CA_1_evaluation,4.1734,2.7192,11.83,41.05,70.26,36.17,0.95,7
FOODS_3_346_CA_1_evaluation,4.1696,2.8698,12.49,41.68,70.86,36.53,0.95,7
FOODS_3_136_CA_1_evaluation,4.1657,2.7011,11.75,40.91,70.07,36.07,0.95,7
FOODS_3_725_CA_1_evaluation,4.1644,2.9318,12.76,41.91,71.06,36.65,0.95,7
HOBBIES_1_381_CA_1_evaluation,4.1594,3.8319,16.68,45.79,74.91,38.92,0.95,7
HOUSEHOLD_1_173_CA_1_evaluation,4.133,3.1224,13.59,42.52,71.45,36.92,0.95,7
FOODS_3_661_CA_1_evaluation,4.118,2.6304,11.45,40.27,69.1,35.56,0.95,7
HOUSEHOLD_1_294_CA_1_evaluation,4.0693,2.6719,11.63,40.11,68.6,35.32,0.95,7
FOODS_3_628_CA_1_evaluation,4.0627,2.5723,11.19,39.63,68.07,35.02,0.95,7
FOODS_3_503_CA_1_evaluation,4.0582,2.8907,12.58,40.99,69.39,35.81,0.95,7
HOBBIES_1_286_CA_1_evaluation,4.0471,3.8568,16.78,45.11,73.44,38.2,0.95,7
FOODS_3_372_CA_1_evaluation,4.0255,2.8945,12.6,40.77,68.95,35.59,0.95,7
FOODS_3_580_CA_1_evaluation,3.9757,3.4359,14.95,42.78,70.61,36.62,0.95,7
FOODS_1_139_CA_1_evaluation,3.975,2.9753,12.95,40.77,68.6,35.44,0.95,7
FOODS_3_738_CA_1_evaluation,3.9582,2.909,12.66,40.37,68.07,35.15,0.95,7
FOODS_3_810_CA_1_evaluation,3.9479,2.6974,11.74,39.37,67.01,34.54,0.95,7
HOBBIES_1_241_CA_1_evaluation,3.9436,2.4596,10.7,38.31,65.91,33.9,0.95,7
FOODS_2_021_CA_1_evaluation,3.9259,3.6973,16.09,43.57,71.05,36.94,0.95,7
HOUSEHOLD_1_459_CA_1_evaluation,3.921,2.7433,11.94,39.39,66.83,34.47,0.95,7
HOUSEHOLD_1_214_CA_1_evaluation,3.9206,2.6145,11.38,38.82,66.27,34.14,0.95,7
FOODS_3_300_CA_1_evaluation,3.912,2.6423,11.5,38.88,66.27,34.15,0.95,7
HOBBIES_1_312_CA_1_evaluation,3.9101,3.2051,13.95,41.32,68.69,35.57,0.95,7
FOODS_3_108_CA_1_evaluation,3.9087,2.8513,12.41,39.77,67.13,34.66,0.95,7
HOBBIES_1_341_CA_1_evaluation,3.9024,3.807,16.57,43.88,71.2,37.06,0.95,7
FOODS_2_013_CA_1_evaluation,3.8797,2.7087,11.79,38.95,66.1,34.09,0.95,7
FOODS_2_359_CA_1_evaluation,3.8775,2.868,12.48,39.62,66.77,34.48,0.95,7
FOODS_3_277_CA_1_evaluation,3.8751,2.8251,12.29,39.42,66.55,34.36,0.95,7
FOODS_3_273_CA_1_evaluation,3.862,2.8293,12.31,39.35,66.38,34.28,0.95,7
FOODS_3_412_CA_1_evaluation,3.8588,3.4449,14.99,42.0,69.01,35.83,0.95,7
FOODS_3_439_CA_1_evaluation,3.8492,2.7763,12.08,39.03,65.97,34.05,0.95,7
FOODS_2_204_CA_1_evaluation,3.846,3.4518,15.02,41.94,68.87,35.76,0.95,7
FOODS_1_004_CA_1_evaluation,3.846,2.3744,10.33,37.26,64.18,33.0,0.95,7
HOBBIES_1_067_CA_1_evaluation,3.8433,3.5658,15.52,42.42,69.32,36.03,0.95,7
HOBBIES_1_158_CA_1_evaluation,3.8096,2.6569,11.56,38.23,64.9,33.47,0.95,7
FOODS_3_076_CA_1_evaluation,3.8069,2.9639,12.9,39.55,66.2,34.23,0.95,7
FOODS_1_042_CA_1_evaluation,3.7877,2.7433,11.94,38.45,64.97,33.54,0.95,7
FOODS_3_514_CA_1_evaluation,3.784,2.6008,11.32,37.81,64.29,33.15,0.95,7
